SITE_ID,IGBP,GPP_NT_day,GPPsat,NEP_95,NEP_99,RECOmax,EF,EFampl,Gsmax,G1,uWUE,GPPsat_std,wLL,wLMA,wSSD,wNmass,wNarea,Hc,LAImax,P,latitude,longitude,Precip,Ta,SW_IN,VPD,CSWI,n_year,APAR,APARmax,fPAR,APARpeak,GPP_k_LAI,APAR_Nmass,APARpeak_Nmass,APARmax_Nmass,PNUEmass,APAR_Narea,APARpeak_Narea,APAR_N,PNUEarea,PNUE,GPP_LAI,LAI_Hc,LAI_fPAR,LAI_Hc_fPAR,WUEet,WUEt,WUEtmax,pWUEt
AR-Vir,ENF,26.540902313654044,43.72059803989744,23.902179908752437,28.09666499455771,17.593900680541992,0.8115245685389991,0.2977002749579024,NA,NA,4.324994039418105,0.8585814126729517,48,0.1544619631042483,0.4894504670583487,NA,NA,14.4,NA,NA,-28.2395,-56.1886,0,21.682960712189395,86.57405235228352,0.955953030626743,NA,3,409.20099680603704,593.1752930124517,0.8275077751007811,397.56877257567197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT-Neu,GRA,24.194709014152284,41.999631346579285,25.165905423597852,29.401646189256155,14.395240020751954,0.8373338285513606,0.2671991303658263,0.01641044568196892,1.7633893982749858,4.657602786091883,4.137492182248468,5,0.0368927,0.0105967,2.8821600000000003,1.0633066423200002,0.7,6.5,53.70163942,47.1167,11.3175,7331.383054312319,6.759717987419153,135.73481197870368,0.3244140357973944,0.41737726723189333,11,418.9402559999218,508.0047050713631,0.6946304940870122,390.7006199766695,1.6285024346879717,145.35634940458607,135.55826879030639,176.2583288475876,1457.2276121582174,393.9975914058501,367.4392733259056,477.75936390556285,39.49907738274015,6.0767811358061765,6.461481745627582,9.285714285714286,9.357493020146311,6.450140302236542,178.75587461930297,9.509513568253835,36.45793287218576,9.663485183026905
AU-Ade,WSA,13.767389758300538,26.856630895912083,19.60529691378275,22.36222408930461,6.403810024261475,0.6841323251549326,0.2338329764770707,NA,NA,2.4039380678498152,3.5517950439310413,NA,NA,NA,NA,NA,12.5,2.04,NA,-13.0769,131.1178,0,27.21994680109016,237.93566690347498,1.4904200920415733,NA,3,337.41527955343366,382.1516108738426,0.458569418303114,324.74959408668155,9.684365211161865,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.165015145054943,0.1632,4.4486176325250755,0.07483852906706821,NA,NA,NA,NA
AU-ASM,ENF,4.571901953709089,8.006433762835268,5.747710937261579,6.907853755950929,3.0408020496368455,0.2706185567010309,0.2018330421443248,NA,NA,2.554115892331259,4.102996764534859,NA,0.2563719170396943,0.9227629819379074,1.776367962,4.554108597858349,6.5,0.47,29.17757597,-22.283,133.249,1416.6000096201897,22.804980526183083,261.3817781737162,2.123761073565112,-2.0786002985877268,5,159.4920092511574,193.05697516203705,0.20585585558668507,144.8091739433457,6.329653142380872,89.78545699033353,81.51980729280103,108.68073467429326,450.7193292216823,35.02156477475337,31.79747931602791,42.39182509895033,1.758068256562972,3.7405707586446217,17.034965452840996,0.07230769230769231,2.2831509876680913,0.014884961865498767,35.703154915729264,2.8067742732652823,4.872309758392908,3.296629833221495
AU-Cpr,SAV,3.9014890007991476,6.617033280486454,5.169855079650878,6.779733930587762,1.9725439548492438,0.22808618260980917,0.1680839453216031,0.0029980390486247415,2.803179148116919,2.7419090404653574,2.7116535479639876,24,0.267153683974828,1.013,1.242740999,3.3200283610940806,3,0.782,26.99151526,-34.0021,140.5891,1341.6000116169453,17.46504157773593,215.8424886242775,1.2425251942002735,-1.226381124087081,5,199.30575977408236,240.66480808738424,0.30270501432011143,188.25964208091517,4.475630002772597,160.3759431244791,151.48743159870207,193.65644835170056,532.4547339961425,60.03134253600268,56.70422707439649,72.48878079103989,1.993065287642868,2.54867683841799,8.461679386811321,0.26066666666666666,2.5833731289731223,0.07890510706610904,50.71723106446167,4.505768467629495,7.352521026705741,4.165795038384206
AU-Cum,EBF,7.815285853672352,13.57286310775761,11.27750473022461,16.19724151611328,4.531291961669924,0.4294294294294294,0.2218347197510686,NA,NA,2.263656436746981,2.8960832044075433,NA,NA,NA,1.1,NA,23,2.0332,46.2030307,-33.6133,150.7225,1283.5000073313713,18.64259318173743,192.6959071641021,0.8581112225016486,-4.148825351125423,3,300.7677800380859,393.0001345169082,0.5214490268329555,285.04915381291715,4.910974721079853,273.42525458007805,259.1355943753792,357.2728495608256,1233.8966461597827,NA,NA,NA,NA,NA,6.675616322918361,0.08839999999999999,3.8991347099614573,0.04609609397203326,47.634255673197075,4.09051222047785,7.346288890450047,3.8589410530536643
AU-DaP,GRA,17.49934903309063,30.78575670409638,23.27708089011056,26.949261192594257,6.680140018463135,0.7793427230046949,0.23525343747457494,NA,NA,2.8555628250222593,5.414250211397069,NA,NA,NA,NA,NA,1,NA,98.60166949,-14.0633,131.3181,5941.980006486177,25.415064309058746,248.90799488351837,1.4099492972582242,-5.8708457133367595,7,412.81432345493823,503.318648390997,0.45412021929915514,430.64036362702495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.914669021527864,3.323543640129845,4.665440481874537,3.2816219690783255
AU-DaS,SAV,10.588559614731377,22.808764390715954,16.081599514825,21.126452843802298,5.831389904022217,0.475284421460892,0.28076258036683455,NA,NA,3.228244219612451,2.7078918160376793,NA,NA,NA,NA,NA,16.4,1.8768,94.55115198,-14.1593,131.3881,6176.980018034577,26.62574400665498,239.0973891671914,1.6483027008166597,-25.142304966294276,7,311.80387820843964,399.51968548197755,0.4486634279541663,329.70900873175214,8.924005252915517,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.153007454558798,0.11443902439024391,4.183091117004809,0.05134460497465728,42.91231303720641,3.697863934568035,4.909310449132711,3.4353660838986224
AU-Dry,SAV,8.725856056387528,14.997677259245123,10.903552423204694,13.311600776399887,4.095670223236084,0.5178571428571429,0.31567123722822243,NA,NA,2.725896776201677,3.943872907872622,NA,NA,NA,NA,NA,12.3,1.66,70.09039984,-15.2588,132.3706,3351.870010316372,26.984031211407704,255.58052048095183,1.85114857998889,-17.042158728602175,7,305.7127885728458,362.7190720403439,0.45103274821463835,296.4968240701213,6.53972646537456,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.034745336894652,0.13495934959349593,3.6804422884389667,0.0608710863444146,39.55261217740693,3.084393328810557,4.546998206281406,2.851475253829397
AU-Emr,GRA,4.525062782705062,11.532589710094875,10.166952896118163,14.514918174743645,2.4709300994873047,0.2931270666036845,0.22385117437104202,NA,NA,2.672368075714074,3.502169486556344,NA,NA,NA,NA,NA,0.6,NA,51.63611099,-23.8587,148.4746,1581.5000062510371,21.339650240459942,206.9530808800292,1.35082542307462,-4.116941650033508,3,260.5259608911348,344.5184087032898,0.38704044522762254,235.2026086667768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.234804778972936,3.6975468826868725,5.030411157454535,3.3589122567323044
